keys,en,es,zh
GMO_PRACTICAL_RESEARCH,Practical Research,Investigación Practica,实践研究
WEAPON_PITCHFORK,Pitchfork,Horqueta,钢叉
GMO_CHALLENGE_BASE,Genetically Modified Overkill,Genéticamente Modificado Sobrecapacidad de Exterminación,基因过载重组
GMO_CHALLENGE_ARTIFICER_LUCKY,Gambling,Arriesgarse,赌局
GMO_CHALLENGE_OLD_EXPLORER,I Hate Snakes,Odio las Serpientes,我讨厌蛇
GMO_CHALLENGE_ENGINEER_DOCTOR,Graduate,Graduado,毕业
GMO_CHALLENGE_DEMON_GLADIATOR,Pit Fiend,Demonio del pozo,深渊恶魔
GMO_CHALLENGE_CRAZY_JACK,The Ripper,El Destripador,松土
GMO_RAZOR_BLADE,Razor Blade,Cuchilla de Afeitar,剃须刀片
GMO_CHALLENGE_LOUD_PACIFIST,Protester,Disidente,抗议者
GMO_PROTEST_SIGN,Picket Sign,Señal de Piquete,纠察标志
WEAPON_GMO_FIST_WRAPPINGS,Organic Fist Wrappings,Envolturas de Puño Orgánicas,有机拳套
GMO_CHALLENGE_MULTITASKER_WILDLING,King of the Jungle,Rey de la Selva,丛林之王
GMO_MONEY_TREE,Money Tree,Árbol del Dinero,摇钱树
GMO_CHALLENGE_FARMER_ENTREPRENEUR,Cash Crop,cultivo comercial,经济作物
GMO_FLABORT,Flabort,Flabort,花花公子
GMO_FLABORT_TEXT,A Shameless Mod-Author Self Insert,Un Desvergonzado Autoinserto de Mod-autor,无耻的模组作者自我插入
GMO_CHALLENGE_ONE_ARM_LICH,Shameless,Desvergonzado,不要脸
GMO_CHALLENGE_RANGER_HUNTER,Bullseye,El Acierto,靶心
GMO_MARKSMANSHIP,Marksmanship,Puntería,瞄准
GMO_TAKE_OUT,Take-out,Comida para Llevar,外卖
GMO_CHALLENGE_SPEEDY_BULL,Like a Bull in a chinese resteraunt,Como un Elefante en una Restaurante Chino,横冲直撞
WEAPON_GMO_POLTERLIMB,Polterlimb,Extremidad Fantasma,波尔特肢体
GMO_CHALLENGE_GHOST_CHUNKY,Phantom Touch,Cepillado por un Fantasma,幻影之触
GMO_MAGIC_BARRIER,Magic Barrier,Barrera Mágica,魔法屏障
GMO_GOLD_PLATED_TEETH,Gold Plated Teeth,Dientes Chapados en Oro,金牙
GMO_CHALLENGE_GENERALIST_ARMS_DEALER,Gaudy and Attractive,Llamativo y Atractivo,银样镴枪头
GMO_CHALLENGE_MAGE_HUNTER,Arcane Sniper,Francotirador Arcano,奥术狙击手
EFFECT_WEAPON_WAVE_STATS,{1} is increased by {0} for every wave. [{3}],{1} aumenta en {0} por cada ola. [{3}],每波 {1} 都会增加 {0}。 [{3}]
WEAPON_GMO_MUSKET,Antique Musket,Mosquete Antiguo,古董火枪
GMO_CHALLENGE_OLD_SOLDIER,Close Quarters Veteran,Veterano de espacios cerrados,近战老兵
GMO_ELUSIVEGHOST,Elusive Ghost,Elusive Ghost,神出“鬼”没
GMO_ELUSIVE_GHOST_URL,https://www.youtube.com/@ElusiveGhost,https://www.youtube.com/@ElusiveGhost,https://www.youtube.com/@ElusiveGhost
GMO_JEFFS_SHADES,Jeff's Shades,Gafas de sol de Jeff,杰夫的太阳镜
GMO_JEFF_URL,https://www.youtube.com/@gamingwithjeff,https://www.youtube.com/@gamingwithjeff,https://www.youtube.com/@gamingwithjeff
GMO_CHALLENGE_MASOCHIST_KNIGHT,You can never have enough head injuries,Nunca puedes tener suficientes lesiones en la cabeza,打不死的小强
GMO_CHALLENGE_BRAWLER_GHOST,Busting Makes Me Feel Good,Cazar Me Hace Sentir Bien,我现在真是High到不行
